domain	color	is_fake
conservativestudio.com	black	True
consnation.com	black	True
cooltobeconservative.com	black	True
daily-sun.com	black	True
dailycurrant.com	black	True
dailyfinesser.com	black	True
dailyinfobox.com	black	True
dailyinsidernews.com	black	True
dailynews10.com	black	True
dailynews11.com	black	True
dailynews3.com	black	True
dailynews33.com	black	True
dailynews5.com	black	True
dailynewsposts.info	black	True
dailyoccupation.com	black	True
dailypresser.com	black	True
dailysurge.com	black	True
dailyusaupdate.com	black	True
damnleaks.com	black	True
democraticmoms.com	black	True
denverguardian.com	black	True
denverinquirer.com	black	True
departed.co	black	True
departedmedia.com	black	True
dineal.com	black	True
disclose.tv	black	True
diyhours.net	black	True
donaldtrumpnews.co	black	True
donaldtrumppotus45.com	black	True
drugsofficial.com	black	True
embols.com	black	True
empireherald.com	black	True
empirenews.net	black	True
empiresports.co	black	True
en-volve.com	black	True
en.mediamass.net	black	True
endingthefed.com	black	True
enhlive.com	black	True
everydaybreakingnews.com	black	True
everynewshere.com	black	True
famousviralstories.com	black	True
fanzinger.com	black	True
federalistnation.com	black	True
federalisttribune.com	black	True
fedsalert.com	black	True
flashinfo.org	black	True
flashnewscorner.com	black	True
floridasunpost.com	black	True
focusnews.info	black	True
folksvideo.com	black	True
fox-news24.com	black	True
france.actualites.co	black	True
freddymag.com	black	True
freedomcrossroads.us	black	True
freedomdaily.com	black	True
freedomsfinalstand.com	black	True
freshdailyreport.com	black	True
friendsofsyria.wordpress.com	black	True
givemeliberty01.com	black	True
globalassociatednews.com	black	True
globalpoliticsnow.com	black	True
greenvillegazette.com	black	True
guerilla.news	black	True
guerillanews.com	black	True
gummypost.com	black	True
halturnershow.com	black	True
headlinebrief.com	black	True
healthyworldhouse.com	black	True
heaviermetal.net	black	True
hotglobalnews.com	black	True
houstonchronicle-tv.com	black	True
huzlers.com	black	True
ilovemyfreedom.org	black	True
interestingdailynews.com	black	True
intrendtoday.com	black	True
ipatriot.com	black	True
isthatlegit.com	black	True
jokerviral.com	black	True
kata33.com	black	True
klponews.com	black	True
km8news.com	black	True
kmt11.com	black	True
knp7.com	black	True
konkonsagh.biz	black	True
krbcnews.com	black	True
kspm33.com	black	True
kupr7.com	black	True
ky12news.com	black	True
ky6news.com	black	True
kypo6.com	black	True
ladylibertysnews.com	black	True
landrypost.com	black	True
lastdeplorables.com	black	True
liberalplug.com	black	True
liberty-courier.com	black	True
libertyalliance.com	black	True
libertywritersnews.com	black	True
local31news.com	black	True
localnews33.com	black	True
londonwebnews.com	black	True
lopezreport.com	black	True
madworldnews.com	black	True
mainerepublicemailalert.com	black	True
majorthoughts.com	black	True
maywoodpost.com	black	True
mbynews.com	black	True
mckenziepost.com	black	True
mediazone.news	black	True
metropolitanworlds.com	black	True
mississippiherald.com	black	True
morningnewsusa.com	black	True
mrnewswatch.com	black	True
msfanpage.link	black	True
msnbc.website	black	True
nationalinsiderpolitics.com	black	True
nationalreport.net	black	True
nbc.com.co	black	True
ncscooper.com	black	True
neonnettle.com	black	True
nephef.com	black	True
nevo.news	black	True
newpoliticstoday.com	black	True
news14kgpn.com	black	True
news14now.com	black	True
news4ktla.com	black	True
newsbiscuit.com	black	True
newsbreakingspipe.com	black	True
newsbreakshere.com	black	True
newsbuzzdaily.com	black	True
newsbysquad.com	black	True
newsdaily10.com	black	True
newsdaily12.com	black	True
newsdaily27.com	black	True
newsexaminer.net	black	True
newsfeedhunter.com	black	True
newsfeedobserver.com	black	True
newshubs.info	black	True
newsjustforyou1.blogspot.com	black	True
newsleak.co	black	True
newslo.com	black	True
newsnow17.com	black	True
newswatch33.com	black	True
newzmagazine.com	black	True
notallowedto.com	black	True
noticias365.info	black	True
now8news.com	black	True
nymeta.co	black	True
occupydemocrats.com	black	True
onepoliticalplaza.com	black	True
openmagazines.com	black	True
oreillypost.com	black	True
ourlandofthefree.com	black	True
paris.actualites.co	black	True
patriothangout.com	black	True
persecutes.com	black	True
politicops.com	black	True
politicot.com	black	True
politicsusanews.com	black	True
powerdaily.us	black	True
president45donaldtrump.com	black	True
pressunion.org	black	True
prntly.com	black	True
proudleader.com	black	True
qualitysharing.com	black	True
react365.com	black	True
readconservatives.news	black	True
realnewsrightnow.com	black	True
redcountry.us	black	True
redinfo.us	black	True
redrocktribune.com	black	True
redstatewatcher.com	black	True
religionmind.com	black	True
rickwells.us	black	True
rilenews.com	black	True
rogue-nation3.com	black	True
rumorjournal.com	black	True
satiratribune.com	black	True
scrapetv.com	black	True
smhwtfnews.com	black	True
snoopack.com	black	True
socialeverythings.com	black	True
southernconservativeextra.com	black	True
spinzon.com	black	True
statenation.co	black	True
states-tv.com	black	True
stgeorgegazette.com	black	True
straightstoned.com	black	True
stuppid.com	black	True
success-street.com	black	True
supremepatriot.com	black	True
tdnewswire.com	black	True
tdtalliance.com	black	True
teddystick.com	black	True
telegraphsun.com	black	True
the-insider.co	black	True
the-postillon.com	black	True
theavocadonews.com	black	True
thebostontribune.com	black	True
thebreakingnews.co	black	True
theexaminer.site	black	True
thefrt.com	black	True
theinternationalreporter.org	black	True
theinternetpost.net	black	True
thelastlineofdefense.org	black	True
themoralofthestory.us	black	True
thenationalsun.com	black	True
thenet24h.com	black	True
thenewsnerd.com	black	True
thenewyorkevening.com	black	True
thenochill.com	black	True
thepoliticaltribune.com	black	True
thepremiumnews.com	black	True
theracketreport.com	black	True
thereporterz.com	black	True
therightists.com	black	True
theseattletribune.com	black	True
thetrumpmedia.com	black	True
theusa-news.com	black	True
theusaconservative.com	black	True
thevalleyreport.com	black	True
thewashingtonpress.com	black	True
times.com.mx	black	True
tmzbreaking.com	black	True
tmzbusiness.com	black	True
tmzcomedy.com	black	True
tmzhiphop.com	black	True
tmzuncut.com	black	True
tmzurban.com	black	True
tmzworldnews.com	black	True
tmzworldstarnews.com	black	True
trueamericans.me	black	True
truetrumpers.com	black	True
truthkings.com	black	True
undergroundnewsreport.com	black	True
unitedmediapublishing.com	black	True
universepolitics.com	black	True
usa-conservative.com	black	True
usa-radio.com	black	True
usa-television.com	black	True
usadailyinfo.com	black	True
usadailypost.us	black	True
usadailytime.com	black	True
usadosenews.com	black	True
usafirstinformation.com	black	True
usanews4u.us	black	True
usanewsflash.com	black	True
usanewshome.com	black	True
usanewstoday.com	black	True
usapolitics24hrs.com	black	True
usapoliticsnow.com	black	True
usapoliticstoday.com	black	True
usapoliticszone.com	black	True
usasnich.com	black	True
usatodaynews.me	black	True
usatodaypolitics.com	black	True
usaworldbox.com	black	True
ushealthyadvisor.com	black	True
ushealthylife.com	black	True
usherald.com	black	True
usinfonews.com	black	True
uspoln.com	black	True
uspostman.com	black	True
vesselnews.io	black	True
viralactions.com	black	True
viralcocaine.com	black	True
viralcords.com	black	True
viraldevil.com	black	True
viralmugshot.com	black	True
viralpropaganda.com	black	True
viralspeech.com	black	True
viralstuppid.com	black	True
voxtribune.com	black	True
washingtonevening.com	black	True
washingtonfeed.com	black	True
washingtonpost.com.co	black	True
wazanews.tk	black	True
wcpm3.com	black	True
weconservative.com	black	True
weekendherald.com	black	True
wetheproudpatriots.com	black	True
wftj8news.com	black	True
whatsupic.com	black	True
