domain,bakshy_avg_align,bakshy_l2,bakshy_l1,bakshy_n,bakshy_r1,bakshy_r2,bakshy_is_news
patriotupdate.com,0.8892,0.0012,0.0,0.0005,0.2774,0.7209,1
pbs.org,-0.5393,0.1467,0.7293,0.0753,0.0464,0.0022,1
people.com,-0.2034,0.017,0.247,0.7051,0.0296,0.0013,1
personalliberty.com,0.8637,0.0,0.0002,0.0161,0.6313,0.3524,1
petitions.whitehouse.gov,-0.2005,0.2485,0.3023,0.1295,0.103,0.2168,1
philly.com,-0.3668,0.2933,0.3064,0.3035,0.0746,0.0221,1
pittsburgh.cbslocal.com,-0.1747,0.1059,0.1431,0.6705,0.0564,0.0241,1
pix11.com,-0.5719,0.1315,0.5237,0.1324,0.212,0.0004,1
pjmedia.com,0.9125,0.0,0.0003,0.0018,0.1627,0.8353,1
policeone.com,0.5063,0.0002,0.0003,0.0382,0.9591,0.0022,1
policestateusa.com,-0.0106,0.1203,0.028,0.7885,0.062,0.0011,1
politicalears.com,0.8225,0.0,0.0001,0.0006,0.5361,0.4632,1
politico.com,-0.1334,0.1215,0.2799,0.2149,0.2573,0.1264,1
politicususa.com,-0.9037,0.994,0.0055,0.0001,0.0005,0.0,1
politifact.com,-0.4802,0.4754,0.431,0.0514,0.0208,0.0213,1
popularmilitary.com,0.4461,0.0,0.0033,0.1239,0.8612,0.0116,1
prepperchimp.com,0.8496,0.0,0.0,0.0006,0.4394,0.56,1
presstv.ir,-0.4142,0.1495,0.5204,0.2566,0.0588,0.0147,1
q13fox.com,-0.0132,0.0114,0.1315,0.7234,0.1253,0.0083,1
qpolitical.com,0.861,0.0,0.0,0.0027,0.3813,0.616,1
quiznatic.com,0.2979,0.0656,0.0111,0.1108,0.7307,0.0818,1
quizony.com,-0.0018,0.2098,0.1305,0.053,0.0876,0.5191,1
qz.com,-0.4713,0.3859,0.4177,0.1855,0.0062,0.0047,1
radio.foxnews.com,0.6973,0.0044,0.0147,0.0129,0.3649,0.6031,1
rare.us,0.6386,0.0003,0.0013,0.029,0.8119,0.1574,1
