domain,bakshy_avg_align,bakshy_l2,bakshy_l1,bakshy_n,bakshy_r1,bakshy_r2,bakshy_is_news
charismanews.com,0.871,0.0003,0.0,0.0019,0.3694,0.6283,1
chicago.cbslocal.com,-0.2568,0.1648,0.1308,0.1721,0.5205,0.0117,1
chicagotribune.com,-0.3117,0.2086,0.3793,0.2949,0.0893,0.0279,1
christiannews.net,0.807,0.0,0.0,0.0002,0.7419,0.2579,1
christianpost.com,0.6722,0.0039,0.067,0.0468,0.4626,0.4198,1
clashdaily.com,0.9218,0.0,0.0,0.0022,0.2291,0.7687,1
cleveland.com,-0.4428,0.1802,0.4955,0.2325,0.0826,0.0093,1
click2houston.com,0.1329,0.0263,0.1694,0.4954,0.2393,0.0696,1
clickondetroit.com,-0.3654,0.0685,0.3284,0.5902,0.0088,0.0041,1
cnbc.com,0.0503,0.0662,0.1803,0.5125,0.1776,0.0635,1
cnn.com,-0.2705,0.0372,0.5139,0.3944,0.0452,0.0093,1
cnsnews.com,0.89865,0.0001,0.0001,0.00125,0.121,0.8775,1
collective-evolution.com,-0.3014,0.0004,0.2856,0.7061,0.0076,0.0003,1
commondreams.org,-0.9673,0.8944,0.0945,0.0108,0.0001,0.0002,1
conservativebyte.com,0.9063,0.0,0.0,0.0012,0.1732,0.8256,1
conservativeinfidel.com,0.9306,0.0,0.0002,0.0002,0.1713,0.8283,1
conservativeoutfitters.com,0.8686,0.0,0.0,0.0,0.3583,0.6417,1
conservativepost.com,0.8962,0.0,0.0,0.0001,0.1449,0.855,1
conservativerefocus.com,0.9457,0.0,0.0,0.0035,0.5746,0.4219,1
conservativetribune.com,0.8866,0.0,0.0,0.0001,0.1305,0.8693,1
controversialtimes.com,0.7836,0.0,0.0002,0.0327,0.807,0.1601,1
countercurrentnews.com,-0.556,0.071,0.8636,0.0625,0.003,0.0,1
courant.com,-0.1968,0.0346,0.0986,0.7826,0.0689,0.0153,1
crooksandliars.com,-0.9218,0.9145,0.0799,0.0024,0.003,0.0002,1
cruz.senate.gov,0.8733,0.0005,0.0,0.0006,0.027,0.9719,1
d.shpg.org,-0.8971,0.8823,0.1161,0.0011,0.0005,0.0,1
dailycaller.com,0.8697,0.0006,0.0058,0.0087,0.1828,0.8021,1
dailycurrant.com,-0.375,0.1463,0.4309,0.1162,0.3066,0.0,1
dailydot.com,-0.5961,0.2917,0.6939,0.0138,0.0004,0.0002,1
dailykos.com,-0.8972,0.9674,0.0291,0.0008,0.0026,0.0,1
dailymail.co.uk,0.286,0.0747,0.1254,0.2482,0.4025,0.1491,1
dailysignal.com,0.9319,0.0,0.0,0.0006,0.0347,0.9647,1
dailysurge.com,0.9195,0.0,0.0,0.0032,0.3281,0.6688,1
dcbeacon.com,0.8735,0.0,0.0,0.0012,0.264,0.7348,1
dcclothesline.com,0.806,0.0004,0.0003,0.1259,0.4729,0.4006,1
dcgazette.com,0.883,0.0,0.0,0.0001,0.6104,0.3896,1
defund.com,0.8898,0.0,0.0001,0.0186,0.3135,0.6678,1
democracynow.org,-0.934,0.9555,0.0401,0.0039,0.0,0.0004,1
denverpost.com,-0.2012,0.228,0.3503,0.2763,0.1082,0.0372,1
dineshdsouza.com,0.937,0.0,0.0,0.0,0.0132,0.9868,1
downtrend.com,0.9136,0.0,0.0,0.0001,0.6681,0.3318,1
duffelblog.com,0.5205,0.0004,0.0003,0.0662,0.9263,0.0068,1
eaglerising.com,0.9018,0.0,0.0,0.0001,0.1366,0.8633,1
earthweareone.com,-0.4698,0.0317,0.946,0.0188,0.0035,0.0,1
economist.com,-0.3173,0.0623,0.5229,0.3545,0.0585,0.0018,1
ecowatch.com,-0.8554,0.727,0.2505,0.0079,0.0147,0.0,1
edition.cnn.com,-0.2615,0.0475,0.4382,0.4606,0.05,0.0037,1
egbertowillies.com,-0.8701,0.9199,0.0801,0.0,0.0,0.0,1
electronicintifada.net,-0.8074,0.6126,0.3827,0.0043,0.0005,0.0,1
elitedaily.com,-0.2558,0.0086,0.1559,0.7929,0.0411,0.0016,1
empirenews.net,-0.0158,0.0651,0.0697,0.2359,0.6291,0.0001,1
en.what-character-are-you.com,-0.009,0.0,0.0102,0.9898,0.0,0.0,1
en.wikipedia.org,-0.2145,0.1241,0.3189,0.3352,0.1607,0.0611,0
endtime.com,0.8043,0.0,0.0,0.0036,0.6801,0.3163,1
endtimeheadlines.org,0.7572,0.0,0.0004,0.0117,0.7654,0.2225,1
examiner.com,0.3807,0.0909,0.0415,0.2467,0.2679,0.353,1
farrahgray.com,-0.7616,0.633,0.3613,0.0045,0.0008,0.0003,1
filmingcops.com,-0.389,0.0015,0.8157,0.1821,0.0006,0.0001,1
finance.yahoo.com,0.0777,0.0192,0.2044,0.452,0.291,0.0333,1
firstcoastnews.com,0.1755,0.0038,0.1102,0.4629,0.4129,0.0101,1
firstlook.org,-0.6805,0.4541,0.4526,0.0916,0.0018,0.0,1
fivethirtyeight.com,-0.5225,0.7152,0.218,0.061,0.0052,0.0007,1
forbes.com,0.0563,0.2931,0.1552,0.2036,0.2153,0.1327,1
foreignpolicy.com,-0.1516,0.054,0.3584,0.5113,0.0533,0.023,1
forwardprogressives.com,-0.8744,0.9836,0.0124,0.0039,0.0001,0.0,1
fox10phoenix.com,0.2386,0.009,0.1008,0.5047,0.369,0.0165,1
fox13now.com,0.0538,0.0139,0.1027,0.6975,0.1551,0.0308,1
fox2now.com,-0.1395,0.0127,0.2088,0.652,0.126,0.0004,1
fox4kc.com,0.0444,0.0089,0.1016,0.795,0.0925,0.002,1
fox59.com,0.0195,0.0108,0.1185,0.6819,0.1829,0.0059,1
fox6now.com,-0.0939,0.0254,0.216,0.6701,0.0815,0.0071,1
fox8.com,-0.1676,0.0172,0.2584,0.6883,0.0338,0.0024,1
foxbaltimore.com,-0.1907,0.0342,0.4627,0.3849,0.0775,0.0408,1
foxcarolina.com,0.3233,0.0119,0.028,0.3652,0.5698,0.0252,1
foxnews.com,0.7754,0.0011,0.0026,0.0089,0.5328,0.4547,1
foxnewsinsider.com,0.8334,0.0001,0.0003,0.0003,0.5829,0.4164,1
freebeacon.com,0.8778,0.0002,0.0005,0.0015,0.1789,0.819,1
freedomoutpost.com,0.9042,0.0001,0.0,0.0019,0.2134,0.7846,1
freep.com,-0.4596,0.2845,0.4516,0.1895,0.0458,0.0286,1
frontpagemag.com,0.9284,0.0005,0.0,0.0031,0.3435,0.6529,1
funker530.com,0.5984,0.0,0.0,0.0022,0.9969,0.0009,1
gawker.com,-0.7749,0.7067,0.251,0.0395,0.002,0.0008,1
gizmodo.com,-0.3002,0.0206,0.6327,0.324,0.0219,0.0008,1
glennbeck.com,0.969,0.0,0.0,0.0,0.008,0.992,1
globalgrind.com,-0.8729,0.9076,0.0917,0.0007,0.0,0.0,1
globalresearch.ca,-0.252,0.0563,0.3456,0.3787,0.2139,0.0054,1
gma.yahoo.com,-0.0472,0.0146,0.1902,0.6248,0.1653,0.0051,1
gop.com,0.9268,0.0,0.0,0.0006,0.0224,0.977,1
gopthedailydose.com,0.9386,0.0001,0.0,0.0002,0.1501,0.8496,1
gothamist.com,-0.7415,0.6293,0.1973,0.1701,0.0033,0.0,1
grist.org,-0.8452,0.8697,0.1254,0.0049,0.0,0.0,1
guns.com,0.7536,0.0278,0.0081,0.0164,0.651,0.2966,1
gunssavelives.net,0.7862,0.0,0.0,0.0013,0.8212,0.1775,1
haaretz.com,-0.504,0.3243,0.4004,0.187,0.0839,0.0045,1
hannity.com,0.9444,0.0,0.0,0.0007,0.0113,0.988,1
headlinepolitics.com,0.8898,0.0,0.0,0.0001,0.1043,0.8955,1
healthimpactnews.com,0.5548,0.0,0.0006,0.0831,0.912,0.0043,1
hemp.org,-0.5268,0.0888,0.8613,0.0483,0.0015,0.0,1
hightimes.com,-0.47665,0.0074,0.9613,0.03115,0.00015,0.0,1
hlntv.com,-0.2211,0.0061,0.2287,0.7574,0.0069,0.001,1
host.madison.com,-0.7585,0.8052,0.1324,0.0306,0.0126,0.0191,1
hosted.ap.org,0.5827,0.0202,0.0151,0.0785,0.2666,0.6195,1
hotair.com,0.9247,0.0,0.0,0.0031,0.1276,0.8694,1
huffingtonpost.ca,-0.469,0.2037,0.1846,0.5069,0.1024,0.0024,1
huffingtonpost.co.uk,-0.4205,0.3074,0.2002,0.4776,0.0133,0.0015,1
huffingtonpost.com,-0.6176,0.3618,0.3306,0.2914,0.0149,0.0013,1
humanevents.com,0.9303,0.0,0.0,0.0005,0.2326,0.767,1
huzlers.com,-0.4188,0.001,0.1645,0.8336,0.0,0.0009,1
ibtimes.co.uk,0.0264,0.0672,0.3565,0.1594,0.3504,0.0665,1
ibtimes.com,-0.1405,0.1825,0.351,0.2039,0.2177,0.0448,1
iflscience.com,-0.4537,0.0299,0.9209,0.0491,0.0,0.0001,1
ifyouonlynews.com,-0.8964,0.9322,0.0642,0.0036,0.0,0.0,1
ijreview.com,0.8901,0.0,0.0,0.0002,0.2207,0.7792,1
independent.co.uk,-0.3598,0.1904,0.4933,0.2079,0.0781,0.0304,1
indiancountrytodaymedianetwork.com,-0.692,0.3031,0.6836,0.013,0.0,0.0003,1
infowars.com,0.5997,0.0004,0.0076,0.1195,0.8103,0.0622,1
inquisitr.com,0.0977,0.083,0.1943,0.1818,0.5026,0.0384,1
insider.foxnews.com,0.8239,0.0,0.0,0.0035,0.4779,0.5186,1
investigations.peta.org,-0.4281,0.0,1.0,0.0,0.0,0.0,1
io9.com,-0.6232,0.2943,0.6491,0.0554,0.0005,0.0008,1
israelnationalnews.com,0.7646,0.0006,0.0084,0.0841,0.6565,0.2504,1
israelvideonetwork.com,0.706,0.0,0.0002,0.1059,0.8363,0.0576,1
jewishpress.com,0.5559,0.0014,0.0077,0.1672,0.6922,0.1315,1
jewsnews.co.il,0.6922,0.0001,0.0003,0.0066,0.8715,0.1215,1
jezebel.com,-0.9487,0.9498,0.0473,0.0026,0.0,0.0003,1
jihadwatch.org,0.839,0.0,0.0003,0.008,0.5119,0.4798,1
joeforamerica.com,0.8878,0.0,0.0,0.0001,0.3923,0.6076,1
jpost.com,0.4149,0.0036,0.0311,0.2302,0.6856,0.0495,1
jrn.com,-0.0377,0.0369,0.141,0.5534,0.2397,0.0291,1
jsonline.com,-0.4045,0.5193,0.168,0.1575,0.0622,0.0929,1
judicialwatch.org,0.8287,0.0,0.0,0.0005,0.5471,0.4524,1
kansascity.com,-0.4023,0.3862,0.3835,0.1385,0.064,0.0279,1
kctv5.com,-0.2071,0.0252,0.1974,0.6986,0.0709,0.0079,1
kdvr.com,0.0225,0.0411,0.1847,0.6127,0.1492,0.0124,1
kfor.com,0.1097,0.046,0.046,0.494,0.408,0.0061,1
kgw.com,-0.2359,0.0366,0.4823,0.4621,0.0156,0.0033,1
khou.com,0.1182,0.0173,0.0795,0.594,0.2956,0.0135,1
kirotv.com,-0.1907,0.0225,0.2303,0.6444,0.0969,0.0058,1
kmov.com,-0.1538,0.0599,0.2601,0.5578,0.1144,0.0079,1
koco.com,0.1027,0.0216,0.0814,0.3404,0.5495,0.007,1
komonews.com,-0.1643,0.0394,0.2861,0.5702,0.096,0.0083,1
kptv.com,-0.0685,0.0064,0.1604,0.8088,0.0237,0.0007,1
ksdk.com,-0.1001,0.0413,0.1456,0.7159,0.0904,0.0068,1
ktla.com,-0.2287,0.17,0.3056,0.3242,0.1931,0.0072,1
kxan.com,-0.039,0.0608,0.1202,0.6763,0.1316,0.0112,1
latimes.com,-0.3995,0.2597,0.4813,0.1613,0.0772,0.0205,1
latino.foxnews.com,0.2312,0.0164,0.0558,0.1035,0.7015,0.1228,1
leftaction.com,-0.8878,0.9979,0.0021,0.0,0.0,0.0,1
legalinsurrection.com,0.8557,0.0,0.0,0.0171,0.0935,0.8894,1
lgbtqnation.com,-0.8501,0.9272,0.0724,0.0004,0.0,0.0,1
liberalamerica.org,-0.9387,0.9855,0.0145,0.0,0.0,0.0,1
libertynews.com,0.8947,0.0,0.0,0.0059,0.2888,0.7053,1
lifenews.com,0.9664,0.0,0.0,0.0096,0.0989,0.8915,1
lifesitenews.com,0.9366,0.0,0.0003,0.0002,0.1266,0.8728,1
liveactionnews.org,0.9228,0.0,0.0,0.0,0.5694,0.4306,1
liveleak.com,0.3231,0.0289,0.0853,0.2843,0.4209,0.1806,1
local10.com,-0.3545,0.0344,0.2441,0.6994,0.0205,0.0016,1
lovebscott.com,-0.883,0.9941,0.0059,0.0,0.0,0.0,1
m.cnsnews.com,0.8665,0.0,0.0009,0.01,0.3132,0.6759,1
m.nydailynews.com,-0.2295,0.1907,0.2693,0.3784,0.1542,0.0074,1
m.youtube.com,0.105,0.1045,0.3193,0.1477,0.2203,0.2082,0
madamenoire.com,-0.8568,0.9732,0.0268,0.0,0.0,0.0,1
madworldnews.com,0.8609,0.0,0.0019,0.0268,0.4473,0.524,1
marinecorpstimes.com,0.5372,0.0003,0.0005,0.0689,0.9252,0.0052,1
mashable.com,-0.4106,0.1874,0.387,0.3678,0.0546,0.0032,1
mediaite.com,-0.1326,0.174,0.2657,0.1785,0.2062,0.1757,1
mediamatters.org,-0.8509,0.913,0.0675,0.0038,0.011,0.0047,1
miamiherald.com,-0.3418,0.3308,0.4055,0.1951,0.0507,0.018,1
