domain,yin_name,yin_state,yin_website,yin_twitter,yin_youtube,yin_facebook,yin_owner,yin_medium,yin_source,yin_collection_date,yin_is_news
kwhe.com,KWHE,HI,http://www.kwhe.com/,,,,LeSea,TV station,stationindex,2018-08-02 14:55:24.612585,1
wgvu.org,WGVK,MI,http://www.wgvu.org/,,,,Grand Valley State University,TV station,stationindex,2018-08-02 14:55:24.612585,1
ktuu.com,KTUU,AK,http://www.ktuu.com/,,,,Schurz Communications,TV station,stationindex,2018-08-02 14:55:24.612585,1
ktbytv.com,KTBY,AK,http://www.ktbytv.com/,,,,Coastal Television Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585,1
kyes.com,KYES,AK,http://www.kyes.com/,,,,Fireweed Communications,TV station,stationindex,2018-08-02 14:55:24.612585,1
knik.com,KNIK-LP,AK,http://www.knik.com/,,,,Fireweed Communications,TV station,stationindex,2018-08-02 14:55:24.612585,1
kakm.org,KAKM,AK,http://www.kakm.org/,,,,Alaska Public Telecommunications,TV station,stationindex,2018-08-02 14:55:24.612585,1
ktva.com,KTVA,AK,http://www.ktva.com/,,,,MediaNews Group,TV station,stationindex,2018-08-02 14:55:24.612585,1
youralaskalink.com,KYUR,AK,http://www.youralaskalink.com/,,,,Coastal Television Broadcasting Company,TV station,stationindex,2018-08-02 14:55:24.612585,1
aksuperstation.com,KATN,AK,http://www.aksuperstation.com/,,,,Smith Media,TV station,stationindex,2018-08-02 14:55:24.612585,1
tvtv.com,KFXF,AK,http://www.tvtv.com/,,,,Tanana Valley Television,TV station,stationindex,2018-08-02 14:55:24.612585,1
alaskaone.org,KUAC,AK,http://www.alaskaone.org/,,,,University of Alaska,TV station,stationindex,2018-08-02 14:55:24.612585,1
webcenter11.com,KTVF,AK,http://www.webcenter11.com/,,,,Newport Television,TV station,stationindex,2018-08-02 14:55:24.612585,1
5newsonline.com,KFSM,AK,http://5newsonline.com/,5news,,https://www.facebook.com/5news,Tribune,TV station,tribunemedia.com,2018-08-04 01:06:48.283394,1
wbrc.com,WBRC,AL,http://www.wbrc.com/,,,,Local TV LLC,TV station,stationindex,2018-08-02 14:55:24.612585,1
aptv.org,WCIQ,AL,http://www.aptv.org/,,,,Alabama Public Television,TV station,stationindex,2018-08-02 14:55:24.612585,1
wvtm13.com,WVTM,AL,http://www.wvtm13.com/,,,,Nexstar Media Group,TV station,stationindex,2018-08-02 14:55:24.612585,1
abc3340.com,WGWW,AL,http://www.abc3340.com/,,,,Howard Stirk Holdings,TV station,stationindex,2018-08-02 14:55:24.612585,1
tbn.org,WTJP,AL,http://www.tbn.org/,,,,Trinity Broadcasting Network,TV station,stationindex,2018-08-02 14:55:24.612585,1
wpmi.com,WPMI,AL,http://www.wpmi.com/,,,,Newport Television,TV station,stationindex,2018-08-02 14:55:24.612585,1
gocwtv.com,WBPG,AL,http://www.gocwtv.com/,,,,LIN TV,TV station,stationindex,2018-08-02 14:55:24.612585,1
thevalleyscw.tv,WHDF,AL,http://www.thevalleyscw.tv/,,,,Lockwood Broadcast Group,TV station,stationindex,2018-08-02 14:55:24.612585,1
waaytv.com,WAAY,AL,http://www.waaytv.com/,,,,Piedmont Television,TV station,stationindex,2018-08-02 14:55:24.612585,1
waff.com,WAFF,AL,http://www.waff.com/,,,,Raycom,TV station,stationindex,2018-08-02 14:55:24.612585,1
fox54.com,WZDX,AL,http://www.fox54.com/,,,,Huntsville Television Acquisition,TV station,stationindex,2018-08-02 14:55:24.612585,1
waka.com,WAKA,AL,http://www.waka.com/,,,,Alabama Broadcasting Partners,TV station,stationindex,2018-08-02 14:55:24.612585,1
wsfa.com,WSFA,AL,http://www.wsfa.com/,,,,,TV station,stationindex,2018-08-02 14:55:24.612585,1
wcov.com,WCOV,AL,http://www.wcov.com/,,,,Woods Communications,TV station,stationindex,2018-08-02 14:55:24.612585,1
cwmontgomery.com,WBMM,AL,http://www.cwmontgomery.com/,,,,Bahakel Communications,TV station,stationindex,2018-08-02 14:55:24.612585,1
alabamanews.net,WNCF,AL,http://www.alabamanews.net/,,,,SagamoreHill Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585,1
wrjm.com,WRJM,AL,http://www.wrjm.com/,,,,Josie Park Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585,1
wtvynews4.com,WTVY,AL,http://www.wtvynews4.com/,,,,Gray Television,TV station,stationindex,2018-08-02 14:55:24.612585,1
wdhn.com,WDHN,AL,http://www.wdhn.com/,,,,Nexstar,TV station,stationindex,2018-08-02 14:55:24.612585,1
wdfxfox34.com,WDFX,AL,http://www.wdfxfox34.com/,,,,Raycom,TV station,stationindex,2018-08-02 14:55:24.612585,1
fox10tv.com,WALA,AL,http://www.fox10tv.com/,Fox10News,,https://www.facebook.com/FOX10News,Meredith,TV station,meridith.com,2018-08-02 14:55:24.612585,1
cbs42.com,WIAT,AL,cbs42.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892,1
wkrg.com,WKRG,AL,wkrg.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892,1
rocketcitynow.com,WZDX,AL,rocketcitynow.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892,1
dothanfirst.com,WDHN,AL,dothanfirst.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892,1
whnt.com,WHNT,AL,http://whnt.com/,whnt,https://www.youtube.com/user/whntnews19 ,https://www.facebook.com/whntnews19,Tribune,TV station,tribunemedia.com,2018-08-04 01:06:48.283394,1
wabm68.com,WABM,AL,http://www.wabm68.com,,,,Sinclair,TV station,sbgi.net,2018-08-02 14:55:24.612585,1
wtto21.com,WDBB,AL,http://www.wtto21.com,,,,Sinclair,TV station,sbgi.net,2018-08-02 14:55:24.612585,1
utv44.com,WJTC,AL,http://www.utv44.com,,,,Sinclair,TV station,sbgi.net,2018-08-02 14:55:24.612585,1
wfgxtv.com,WFGX,AL,http://www.wfgxtv.com,,,,Sinclair,TV station,sbgi.net,2018-08-02 14:55:24.612585,1
weartv.com,WEAR,AL,http://www.weartv.com,,,,Sinclair,TV station,sbgi.net,2018-08-02 14:55:24.612585,1
local15tv.com,WPMI,AL,http://www.local15tv.com,,,,Sinclair,TV station,sbgi.net,2018-08-02 14:55:24.612585,1
aetn.org,KETS,AR,http://www.aetn.org/,,,,Arkansas Educational Television,TV station,stationindex,2018-08-02 14:55:24.612585,1
todaysthv.com,KTHV,AR,http://www.todaysthv.com/,,,,Tegna Media,TV station,stationindex,2018-08-02 14:55:24.612585,1
klrt.com,KLRT,AR,http://www.klrt.com/,,,,Newport Television,TV station,stationindex,2018-08-02 14:55:24.612585,1
vtntv.com,KVTN,AR,http://www.vtntv.com/,,,,Agape Church,TV station,stationindex,2018-08-02 14:55:24.612585,1
daystar.com,KKAP,AR,http://www.daystar.com/,,,,Daystar,TV station,stationindex,2018-08-02 14:55:24.612585,1
kasn.com,KASN,AR,http://www.kasn.com/,,,,Newport Television,TV station,stationindex,2018-08-02 14:55:24.612585,1
kfsm.com,KFSM,AR,http://www.kfsm.com/,,,,"Local TV, LLC",TV station,stationindex,2018-08-02 14:55:24.612585,1
4029tv.com,KHOG,AR,http://www.4029tv.com/,,,,Hearst Television,TV station,stationindex,2018-08-02 14:55:24.612585,1
knwa.com,KNWA,AR,http://www.knwa.com/,,,,Nexstar,TV station,stationindex,2018-08-02 14:55:24.612585,1
safetv.org,KWOG,AR,http://www.safetv.org/,,,,Total Life Community Educational Foundation,TV station,stationindex,2018-08-02 14:55:24.612585,1
region10.com,KTVE,AR,http://www.region10.com/,,,,Piedmont Television,TV station,stationindex,2018-08-02 14:55:24.612585,1
kait8.com,KAIT,AR,http://www.kait8.com/,,,,Raycom,TV station,stationindex,2018-08-02 14:55:24.612585,1
kark.com,KARK,AR,kark.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892,1
fox16.com,KLRT,AR,fox16.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892,1
cwarkansas.com,KASN ,AR,cwarkansas.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892,1
nwahomepage.com,KNWA,AR,nwahomepage.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892,1
myarklamiss.com,KARD,AR,myarklamiss.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892,1
katv.com,KATV,AR,http://www.katv.com,,,,Sinclair,TV station,sbgi.net,2018-08-02 14:55:24.612585,1
cbs5az.com,KPHO,AZ,http://www.cbs5az.com/,,,,Meredith Corporation,TV station,stationindex,2018-08-02 14:55:24.612585,1
aztv.com,KAZT,AZ,http://www.aztv.com/,,,,The Londen Group,TV station,stationindex,2018-08-02 14:55:24.612585,1
asu.edu,KAET,AZ,http://www.kaet.asu.edu/,,,,Arizona State University,TV station,stationindex,2018-08-02 14:55:24.612585,1
fox10phoenix.com,KSAZ,AZ,http://www.fox10phoenix.com/,,,,Fox Television Stations,TV station,stationindex,2018-08-02 14:55:24.612585,1
azcentral.com,KPNX,AZ,http://www.azcentral.com/12news/,,,,Tegna Media,TV station,stationindex,2018-08-02 14:55:24.612585,1
abc15.com,KNXV,AZ,http://www.abc15.com/,,,,E. W. Scripps Company,TV station,stationindex,2018-08-02 14:55:24.612585,1
kejr40.com,KEJR-LD,AZ,http://www.kejr40.com/,,,,HERO Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585,1
kvoa.com,KVOA,AZ,http://www.kvoa.com/,,,,Evening Post Publishing Company,TV station,stationindex,2018-08-02 14:55:24.612585,1
azpm.org,KUAT,AZ,http://tv.azpm.org/,,,,University of Arizona,TV station,stationindex,2018-08-02 14:55:24.612585,1
kgun9.com,KGUN,AZ,http://www.kgun9.com/,,,,Journal Broadcast Group,TV station,stationindex,2018-08-02 14:55:24.612585,1
fox11az.com,KMSB,AZ,http://www.fox11az.com/,,,,Tegna Media,TV station,stationindex,2018-08-02 14:55:24.612585,1
kold.com,KOLD,AZ,http://www.kold.com/,,,,Raycom Media,TV station,stationindex,2018-08-02 14:55:24.612585,1
kttu.com,KTTU,AZ,http://www.kttu.com/,,,,Tegna Media,TV station,stationindex,2018-08-02 14:55:24.612585,1
kyma.com,KYMA,AZ,http://www.kyma.com/,,,,,TV station,stationindex,2018-08-02 14:55:24.612585,1
kswt.com,KSWT,AZ,http://www.kswt.com/,,,,Pappas Telecasting,TV station,stationindex,2018-08-02 14:55:24.612585,1
azfamily.com,KTVK,AZ,http://www.azfamily.com/,azfamily,,https://www.facebook.com/3TVPhoenix,Meredith,TV station,meridith.com,2018-08-02 14:55:24.612585,1
kpho.com,KPHO,AZ,http://www.kpho.com/,CBS5AZ,,https://www.facebook.com/CBS5AZ,Meredith,TV station,meridith.com,2018-08-02 14:55:24.612585,1
yourphx.com,KASW,AZ,yourphx.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892,1
cbslocal.com,KCBS,CA,http://losangeles.cbslocal.com/,,,,CBS Corporation,TV station,stationindex,2018-08-02 14:55:24.612585,1
nbclosangeles.com,KNBC,CA,http://www.nbclosangeles.com/,,,,NBC Universal,TV station,stationindex,2018-08-02 14:55:24.612585,1
abc7.com,KABC,CA,http://www.abc7.com/,,,,ABC,TV station,stationindex,2018-08-02 14:55:24.612585,1
foxla.com,KTTV,CA,http://www.foxla.com/,,,,Fox Television Stations,TV station,stationindex,2018-08-02 14:55:24.612585,1
kwhy22.com,KWHY,CA,https://www.kwhy22.com/,,,,Meruelo Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585,1
kvmdtv.com,KVMD,CA,http://www.kvmdtv.com/,,,,Ronald Ulloa,TV station,stationindex,2018-08-02 14:55:24.612585,1
kvcr.org,KVCR,CA,http://www.kvcr.org/,,,,San Bernardino Community College,TV station,stationindex,2018-08-02 14:55:24.612585,1
kcet.org,KCET,CA,http://www.kcet.org/,,,,Community Television of Southern California,TV station,stationindex,2018-08-02 14:55:24.612585,1
iontelevision.com,KPXN,CA,http://www.iontelevision.com/,,,,Ion Media Networks,TV station,stationindex,2018-08-02 14:55:24.612585,1
kmex.com,KMEX,CA,http://www.kmex.com/,,,,Univision Communications,TV station,stationindex,2018-08-02 14:55:24.612585,1
kxlatv.com,KXLA,CA,http://www.kxlatv.com/,,,,Rancho Palos Verdes Broadcasters,TV station,stationindex,2018-08-02 14:55:24.612585,1
pbssocal.org,KOCE,CA,http://www.pbssocal.org/,,,,KOCE-TV Foundation,TV station,stationindex,2018-08-02 14:55:24.612585,1
telemundola.com,KVEA,CA,http://www.telemundola.com/,,,,NBC Universal,TV station,stationindex,2018-08-02 14:55:24.612585,1
kdoc.tv,KDOC,CA,http://www.kdoc.tv/,,,,Ellis Communications,TV station,stationindex,2018-08-02 14:55:24.612585,1
klcs.org,KLCS,CA,http://www.klcs.org/,,,,Los Angeles Unified School District,TV station,stationindex,2018-08-02 14:55:24.612585,1
canal63.com,KBEH,CA,http://www.canal63.com/,,,,Meruelo Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585,1
ktvu.com,KTVU,CA,http://www.ktvu.com/,,,,Fox Television Stations,TV station,stationindex,2018-08-02 14:55:24.612585,1
kron.com,KRON,CA,http://www.kron.com/,,,,Nexstar Media Group,TV station,stationindex,2018-08-02 14:55:24.612585,1
abc7news.com,KGO,CA,http://www.abc7news.com/,,,,ABC,TV station,stationindex,2018-08-02 14:55:24.612585,1
kqed.org,KQED,CA,http://www.kqed.org/,,,,Northern California Public Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585,1
nbcbayarea.com,KNTV,CA,http://www.nbcbayarea.com/,,,,NBC Universal,TV station,stationindex,2018-08-02 14:55:24.612585,1
kkpm.tv,KQSL-LD,CA,http://kkpm.tv/,,,,One Ministries,TV station,stationindex,2018-08-02 14:55:24.612585,1
kofytv.com,KOFY,CA,http://www.kofytv.com/,,,,Granite Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585,1
krcb.org,KRCB,CA,http://www.krcb.org/,,,,Rural California Broadcasting Corporation,TV station,stationindex,2018-08-02 14:55:24.612585,1
ktsf.com,KTSF,CA,http://www.ktsf.com/,,,,Lincoln Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585,1
kmtp.tv,KMTP,CA,http://www.kmtp.tv/,,,,Minority Television Project,TV station,stationindex,2018-08-02 14:55:24.612585,1
telemundo48.com,KSTS,CA,http://www.telemundo48.com/,,,,NBC Universal,TV station,stationindex,2018-08-02 14:55:24.612585,1
northbaytv.com,K49KS-D,CA,http://www.northbaytv.com/,,,,,TV station,stationindex,2018-08-02 14:55:24.612585,1
kteh.org,KTEH,CA,http://www.kteh.org/,,,,Northern California Public Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585,1
kcsm.org,KCSM,CA,http://www.kcsm.org/,,,,San Mateo Community College,TV station,stationindex,2018-08-02 14:55:24.612585,1
kcra.com,KCRA,CA,http://www.kcra.com/,,,,Hearst Television,TV station,stationindex,2018-08-02 14:55:24.612585,1
kvie.org,KVIE,CA,http://www.kvie.org/,,,,"KVIE, Inc.",TV station,stationindex,2018-08-02 14:55:24.612585,1
abc10.com,KXTV,CA,http://www.abc10.com/,,,,Tegna Media,TV station,stationindex,2018-08-02 14:55:24.612585,1
betnahrain.org,KBSV,CA,http://www.betnahrain.org/KBSV/kbsv.htm,,,,"Bet-Nahrain, Inc.",TV station,stationindex,2018-08-02 14:55:24.612585,1
kcso33.com,KCSO-LD,CA,http://www.kcso33.com/,,,,Serestar Communications,TV station,stationindex,2018-08-02 14:55:24.612585,1
cbs8.com,KFMB,CA,http://www.cbs8.com/,,,,Tenga,TV station,stationindex,2018-08-02 14:55:24.612585,1
10news.com,KGTV,CA,http://www.10news.com/,,,,E. W. Scripps Company,TV station,stationindex,2018-08-02 14:55:24.612585,1
kpbs.org,KPBS,CA,http://www.kpbs.org/,,,,San Diego State University,TV station,stationindex,2018-08-02 14:55:24.612585,1
kbnt.com,KBNT-CD,CA,http://www.kbnt.com/,,,,Entravision,TV station,stationindex,2018-08-02 14:55:24.612585,1
nbcsandiego.com,KNSD,CA,http://www.nbcsandiego.com/,,,,NBC Universal,TV station,stationindex,2018-08-02 14:55:24.612585,1
aztecasd.com,KZSD-LP,CA,http://www.aztecasd.com/,,,,E. W. Scripps Company,TV station,stationindex,2018-08-02 14:55:24.612585,1
kusi.com,KUSI,CA,http://www.kusi.com/,,,,McKinnon Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585,1
kail.tv,KAIL,CA,http://www.kail.tv/,,,,Trans-America Broadcasting Corp.,TV station,stationindex,2018-08-02 14:55:24.612585,1
kmsgtv.com,KFAZ-CA,CA,http://www.kmsgtv.com/,,,,Cocola Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585,1
kvpt.org,KVPT,CA,http://www.kvpt.org/,,,,Valley Public Television,TV station,stationindex,2018-08-02 14:55:24.612585,1
tr3s.com,KZMM-CD,CA,http://www.tr3s.com/,,,,CNZ Communications,TV station,stationindex,2018-08-02 14:55:24.612585,1
ksee24.com,KSEE,CA,http://www.ksee24.com/,,,,Granite Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585,1
abc30.com,KFSN,CA,http://www.abc30.com/,,,,ABC,TV station,stationindex,2018-08-02 14:55:24.612585,1
kjeotv.com,KJEO-LD,CA,http://www.kjeotv.com/,,,,Cocola Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585,1
47tv.com,KGPE,CA,http://www.47tv.com/,,,,Newport Television,TV station,stationindex,2018-08-02 14:55:24.612585,1
dioceseoffresno.org,KNXT,CA,http://www.dioceseoffresno.org/knxt/,,,,Diocese of Fresno,TV station,stationindex,2018-08-02 14:55:24.612585,1
holaciudad.com,KNSO,CA,http://fresno.holaciudad.com/,,,,NBC Universal,TV station,stationindex,2018-08-02 14:55:24.612585,1
kmph.com,KFRE,CA,http://kmph.com/the-cw/cw-kfre-59,,,,Sinclair Broadcasting Group,TV station,stationindex,2018-08-02 14:55:24.612585,1
keyt.com,KEYT,CA,http://www.keyt.com/,,,,Smith Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585,1
ksby.com,KSBY,CA,http://www.ksby.com/,,,,Evening Post Publishing,TV station,stationindex,2018-08-02 14:55:24.612585,1
kcoy.com,KCOY,CA,http://www.kcoy.com/,,,,Cowles Publishing Company,TV station,stationindex,2018-08-02 14:55:24.612585,1
kkfx.com,KKFX-CD,CA,http://www.kkfx.com/,,,,Cowles Publishing Company,TV station,stationindex,2018-08-02 14:55:24.612585,1
mytvmonterey.com,KOTR-LP,CA,http://www.mytvmonterey.com/,,,,,TV station,stationindex,2018-08-02 14:55:24.612585,1
ksbw.com,KSBW,CA,http://www.ksbw.com/,,,,Hearst Television,TV station,stationindex,2018-08-02 14:55:24.612585,1
telemundo23.com,KMUV-LP,CA,http://www.telemundo23.com/,,,,Cowles Publishing Company,TV station,stationindex,2018-08-02 14:55:24.612585,1
kqet.com,KQET,CA,http://www.kqet.com/,,,,Northern California Public Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585,1
kcba.com,KCBA,CA,http://www.kcba.com/,,,,Seal Rock Broadcasters,TV station,stationindex,2018-08-02 14:55:24.612585,1
azteca43.tv,KMCE-LP,CA,http://www.azteca43.tv/,,,,,TV station,stationindex,2018-08-02 14:55:24.612585,1
kionrightnow.com,KION,CA,http://www.kionrightnow.com/,,,,Cowles Publishing Company,TV station,stationindex,2018-08-02 14:55:24.612585,1
turnto23.com,KERO,CA,http://www.turnto23.com/,,,,E. W. Scripps Company,TV station,stationindex,2018-08-02 14:55:24.612585,1
kuvi45.com,KUVI,CA,http://www.kuvi45.com/,,,,Univision Communications,TV station,stationindex,2018-08-02 14:55:24.612585,1
krcrtv.com,KRCR,CA,http://www.krcrtv.com/,,,,Bluestone Television,TV station,stationindex,2018-08-02 14:55:24.612585,1
kixe.org,KIXE,CA,http://www.kixe.org/,,,,"North California Educational TV Association, Inc.",TV station,stationindex,2018-08-02 14:55:24.612585,1
khsltv.com,KHSL,CA,http://www.khsltv.com/,,,,Catamount Broadcast Group,TV station,stationindex,2018-08-02 14:55:24.612585,1
kcvufox20.com,KCVU,CA,http://kcvufox20.com/,,,,Esteem Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585,1
knvn.com,KNVN,CA,http://www.knvn.com/,,,,Catamount Broadcast Group,TV station,stationindex,2018-08-02 14:55:24.612585,1
univision27.com,KUCO-LP,CA,http://www.univision27.com/,,,,Sainte,TV station,stationindex,2018-08-02 14:55:24.612585,1
kmir6.com,KMIR,CA,http://www.kmir6.com/,,,,Journal Broadcast Group,TV station,stationindex,2018-08-02 14:55:24.612585,1
kesq.com,KPSP-CD,CA,http://www.kesq.com/,,,,Gulf-California Broadcast Company,TV station,stationindex,2018-08-02 14:55:24.612585,1
my13palmsprings.com,KPSE-LP,CA,http://www.my13palmsprings.com/,,,,Journal Broadcast Group,TV station,stationindex,2018-08-02 14:55:24.612585,1
kiem-tv.com,KIEM,CA,http://www.kiem-tv.com/,,,,Pollack/Belz Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585,1
yourcwtv.com,KUVU-LP,CA,http://yourcwtv.com/partners/eureka/,,,,Sainte,TV station,stationindex,2018-08-02 14:55:24.612585,1
keet.org,KEET,CA,http://www.keet.org/,,,,Redwood Empire Public Television,TV station,stationindex,2018-08-02 14:55:24.612585,1
kviqcbs17.com,KVIQ,CA,http://kviqcbs17.com/,,,,Frontier Radio Management,TV station,stationindex,2018-08-02 14:55:24.612585,1
kaef.tv,KAEF,CA,http://www.kaef.tv/,,,,Bluestone Television,TV station,stationindex,2018-08-02 14:55:24.612585,1
eurekatelevision.tv,KEUV-LP,CA,http://eurekatelevision.tv/,,,,Sainte,TV station,stationindex,2018-08-02 14:55:24.612585,1
kron4.com,KRON,CA,kron4.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892,1
yourcentralvalley.com,KSEE,CA,yourcentralvalley.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892,1
kget.com,KGET,CA,kget.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892,1
telemundobakersfield.com,KKEY-LD,CA,telemundobakersfield.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892,1
ktla.com,KTLA,CA,http://ktla.com/,ktla,http://www.youtube.com/user/ktla,http://www.facebook.com/ktla5,Tribune,TV station,tribunemedia.com,2018-08-04 01:06:48.283394,1
fox40.com,KTXL,CA,http://fox40.com/,FOX40,http://www.youtube.com/user/ktxlFOX40,http://www.facebook.com/fox40news,Tribune,TV station,tribunemedia.com,2018-08-04 01:06:48.283394,1
fox5sandiego.com,KSWB,CA,http://fox5sandiego.com/,fox5sandiego,http://www.youtube.com/user/fox5sd,http://www.facebook.com/fox5sandiego,Tribune,TV station,tribunemedia.com,2018-08-04 01:06:48.283394,1
bakersfieldnow.com,KBAK,CA,http://bakersfieldnow.com/,,,,Sinclair,TV station,sbgi.net,2018-08-02 14:55:24.612585,1
kmph-kfre.com,KMPH-CD,CA,http://www.kmph-kfre.com,,,,Sinclair,TV station,sbgi.net,2018-08-02 14:55:24.612585,1
krma.org,KRMA,CO,http://www.krma.org/,,,,Rocky Mountain Public Broadcasting Network,TV station,stationindex,2018-08-02 14:55:24.612585,1
thedenverchannel.com,KMGH,CO,http://www.thedenverchannel.com/,,,,E. W. Scripps Company,TV station,stationindex,2018-08-02 14:55:24.612585,1
9news.com,KUSA,CO,http://www.9news.com/,,,,Tegna Media,TV station,stationindex,2018-08-02 14:55:24.612585,1
kbdi.org,KBDI,CO,http://www.kbdi.org/,,,,Colorado Public Television,TV station,stationindex,2018-08-02 14:55:24.612585,1
my20denver.com,KTVD,CO,http://www.my20denver.com/,,,,Tegna Media,TV station,stationindex,2018-08-02 14:55:24.612585,1
koaa.com,KOAA,CO,http://www.koaa.com/,,,,Evening Post Publishing,TV station,stationindex,2018-08-02 14:55:24.612585,1
kktv.com,KKTV,CO,http://www.kktv.com/,,,,Gray Television,TV station,stationindex,2018-08-02 14:55:24.612585,1
krdotv.com,KRDO,CO,http://www.krdotv.com/,,,,The Pikes Peak Broadcasting Co.,TV station,stationindex,2018-08-02 14:55:24.612585,1
kxrm.com,KXRM,CO,http://www.kxrm.com/,,,,Barrington Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585,1
kwhs.tv,KWHS-LP,CO,http://www.kwhs.tv/,,,,LeSEA Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585,1
kxtu.com,KXTU-LP,CO,http://www.kxtu.com/,,,,Barrington Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585,1
krextv.com,KREX,CO,http://www.krextv.com/,,,,Hoak Media,TV station,stationindex,2018-08-02 14:55:24.612585,1
kjct8.com,KJCT,CO,http://www.kjct8.com/,,,,Pikes Peak Television,TV station,stationindex,2018-08-02 14:55:24.612585,1
nbc11news.com,KKCO,CO,http://www.nbc11news.com/,,,,Gray Television,TV station,stationindex,2018-08-02 14:55:24.612585,1
rmpbs.org,KRMJ,CO,http://www.rmpbs.org/,,,,Rocky Mountain Public Broadcasting,TV station,stationindex,2018-08-02 14:55:24.612585,1
fox21news.com,KXRM,CO,fox21news.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892,1
westernslopenow.com,KREX,CO,westernslopenow.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892,1
kwgn.com,KWGN,CO,http://kwgn.com/,channel2kwgn,http://www.youtube.com/user/kwgn,http://www.facebook.com/kwgnchannel2,Tribune,TV station,tribunemedia.com,2018-08-04 01:06:48.283394,1
kdvr.com,KDVR,CO,http://kdvr.com/,kdvr,http://www.youtube.com/user/KDVRDenver,https://www.facebook.com/fox31denver,Tribune,TV station,tribunemedia.com,2018-08-04 01:06:48.283394,1
cptv.org,WEDH,CT,http://www.cptv.org/,,,,,TV station,stationindex,2018-08-02 14:55:24.612585,1
nbcconnecticut.com,WVIT,CT,http://www.nbcconnecticut.com/,,,,NBC Universal,TV station,stationindex,2018-08-02 14:55:24.612585,1
mytv9web.com,WCTX,CT,http://www.mytv9web.com/,,,,LIN TV,TV station,stationindex,2018-08-02 14:55:24.612585,1
ctnow.com,WTIC,CT,http://www.ctnow.com/,,,,Tribune,TV station,stationindex,2018-08-02 14:55:24.612585,1
wfsb.com,WFSB,CT,http://www.wfsb.com/,WFSBnews,,https://www.facebook.com/WFSB3,Meredith,TV station,meridith.com,2018-08-02 14:55:24.612585,1
wtnh.com,WTNH,CT,wtnh.com,,,,Nexstar,TV station,nexstar.tv,2018-08-02 20:31:06.425892,1
foxct.com,WTIC,CT,http://foxct.com/,FoxCT,http://www.youtube.com/user/ctnow,http://www.facebook.com/FOXCT,Tribune,TV station,tribunemedia.com,2018-08-04 01:06:48.283394,1
ct.com,WCCT,CT,http://ct.com/,WCCTtv,,https://www.facebook.com/WCCTtv,Tribune,TV station,tribunemedia.com,2018-08-04 01:06:48.283394,1
nbcwashington.com,WRC,DC,http://www.nbcwashington.com/,,,,NBC Universal,TV station,stationindex,2018-08-02 14:55:24.612585,1
fox5dc.com,WTTG,DC,http://www.fox5dc.com/,,,,Fox Television Stations,TV station,stationindex,2018-08-02 14:55:24.612585,1
wusa9.com,WUSA,DC,http://www.wusa9.com/,,,,Tegna Media,TV station,stationindex,2018-08-02 14:55:24.612585,1
weta.org,WETA,DC,http://www.weta.org/,,,,Greater Washington Educational Telecommunications Association,TV station,stationindex,2018-08-02 14:55:24.612585,1
dc50tv.com,WDCW,DC,http://www.dc50tv.com/,,,,Tribune,TV station,stationindex,2018-08-02 14:55:24.612585,1
